0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
381,0.11407,0.1705,0.18892,0.21981,0.27566,0.28813,0.30061,0.30774,0.31071,0.31071,0.28754,0.25486,0.2008,0.16337,0.14199,0.13605,0.13129
382,0.11466,0.17169,0.1907,0.22219,0.27863,0.2911,0.30358,0.3113,0.31427,0.31427,0.29051,0.25665,0.20199,0.16397,0.14258,0.13605,0.13129
383,0.11525,0.17229,0.19249,0.22397,0.2816,0.29407,0.30655,0.31427,0.31724,0.31724,0.29348,0.25902,0.20377,0.16456,0.14318,0.13605,0.13129
384,0.11585,0.17347,0.19367,0.22635,0.28398,0.29705,0.30952,0.31724,0.32021,0.32021,0.29586,0.2614,0.20496,0.16575,0.14318,0.13664,0.13189
385,0.11644,0.17407,0.19546,0.22813,0.28695,0.30002,0.31249,0.32021,0.32319,0.32319,0.29823,0.26318,0.20615,0.16635,0.14377,0.13664,0.13189
386,0.11704,0.17526,0.19664,0.22991,0.28932,0.30239,0.31546,0.32319,0.32616,0.32616,0.3012,0.26556,0.20793,0.16694,0.14436,0.13723,0.13189
387,0.11822,0.17585,0.19783,0.23229,0.2917,0.30536,0.31843,0.32616,0.32913,0.32853,0.30358,0.26734,0.20912,0.16813,0.14436,0.13783,0.13248
388,0.11882,0.17644,0.19961,0.23348,0.29407,0.30774,0.32081,0.32853,0.3315,0.3315,0.30596,0.26972,0.21031,0.16872,0.14496,0.13783,0.13248
389,0.11941,0.17704,0.2008,0.23585,0.29586,0.31012,0.32319,0.3315,0.33447,0.33388,0.30774,0.27091,0.2115,0.16932,0.14555,0.13842,0.13248
390,0.12001,0.17823,0.20199,0.23764,0.29823,0.31249,0.32556,0.33388,0.33685,0.33685,0.31071,0.27328,0.21328,0.1705,0.14615,0.13842,0.13308
391,0.1206,0.17882,0.20318,0.23942,0.30061,0.31487,0.32794,0.33626,0.33923,0.33923,0.31249,0.27506,0.21447,0.1711,0.14615,0.13902,0.13308
392,0.12119,0.17942,0.20437,0.24061,0.30299,0.31724,0.33091,0.33923,0.3422,0.3416,0.31487,0.27685,0.21565,0.17169,0.14674,0.13961,0.13367
393,0.12179,0.18001,0.20556,0.24239,0.30477,0.31962,0.33328,0.34101,0.34457,0.34398,0.31724,0.27863,0.21684,0.17229,0.14733,0.13961,0.13367
394,0.12238,0.1812,0.20674,0.24417,0.30655,0.322,0.33507,0.34338,0.34635,0.34635,0.31903,0.28041,0.21803,0.17347,0.14733,0.14021,0.13367
395,0.12298,0.18179,0.20793,0.24536,0.30833,0.32378,0.33744,0.34576,0.34873,0.34814,0.32081,0.2816,0.21922,0.17407,0.14793,0.14021,0.13426
396,0.12416,0.18239,0.20853,0.24714,0.31071,0.32616,0.33923,0.34814,0.35111,0.35051,0.32319,0.28338,0.21981,0.17466,0.14852,0.14021,0.13426
397,0.12476,0.18298,0.20971,0.24833,0.31249,0.32794,0.3416,0.34992,0.35348,0.35289,0.32497,0.28516,0.221,0.17526,0.14852,0.1408,0.13426
398,0.12535,0.18357,0.2109,0.25011,0.31427,0.33031,0.34398,0.3523,0.35527,0.35527,0.32675,0.28695,0.22219,0.17585,0.14912,0.14139,0.13486
399,0.12595,0.18417,0.21209,0.25189,0.31606,0.3321,0.34635,0.35467,0.35764,0.35705,0.32913,0.28813,0.22338,0.17644,0.14971,0.14139,0.13486
