0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
449,0.19439,0.18885,0.079909,0.079909,0.18493,0.21168,0.18134,0.1696,0.1409,0.097847,0.088063,0.067515,0.063601,0.06197,0.060665,0.060665,0.060013
450,0.19961,0.19276,0.081539,0.081539,0.18656,0.21363,0.18297,0.17123,0.1422,0.098826,0.088715,0.067841,0.064253,0.062296,0.060992,0.060992,0.060339
451,0.20483,0.197,0.08317,0.08317,0.18852,0.21559,0.18461,0.17286,0.14351,0.099478,0.089367,0.068167,0.064579,0.062948,0.061318,0.061318,0.060665
452,0.21037,0.20124,0.085127,0.085127,0.19048,0.21787,0.18656,0.17449,0.14481,0.10046,0.09002,0.068819,0.064905,0.063275,0.061644,0.061644,0.060992
453,0.21624,0.20581,0.087084,0.087084,0.19276,0.22016,0.18852,0.17613,0.14612,0.10111,0.090672,0.069145,0.065232,0.063601,0.062296,0.06197,0.061318
454,0.22211,0.21037,0.089041,0.089041,0.19472,0.22244,0.19048,0.17808,0.14775,0.10209,0.09165,0.069472,0.065558,0.063927,0.062622,0.062296,0.06197
455,0.22831,0.21494,0.090998,0.090998,0.197,0.22472,0.19243,0.17971,0.14905,0.10274,0.092303,0.069798,0.065884,0.064253,0.062948,0.062622,0.062296
456,0.23451,0.21983,0.092955,0.092955,0.19928,0.22701,0.19439,0.18167,0.15036,0.10372,0.092955,0.07045,0.06621,0.064579,0.063275,0.062948,0.062622
457,0.2407,0.22472,0.095238,0.095238,0.20157,0.22962,0.19635,0.18363,0.15199,0.1047,0.093607,0.070776,0.066862,0.064905,0.063601,0.063275,0.062948
458,0.24723,0.22962,0.097195,0.097195,0.20385,0.2319,0.1983,0.18526,0.15329,0.10535,0.09426,0.071102,0.067189,0.065232,0.063927,0.063927,0.063275
459,0.25408,0.23483,0.099478,0.099478,0.20646,0.23451,0.20059,0.18721,0.15492,0.10633,0.094912,0.071755,0.067515,0.065558,0.064253,0.064253,0.063601
460,0.26125,0.24038,0.10176,0.10176,0.20874,0.23712,0.20287,0.18917,0.15656,0.10731,0.09589,0.072081,0.067841,0.065884,0.064579,0.064579,0.063927
461,0.2681,0.2456,0.10404,0.10404,0.21102,0.23973,0.20483,0.19113,0.15786,0.10828,0.096543,0.072733,0.068493,0.066536,0.065232,0.064905,0.064579
462,0.27593,0.25147,0.10633,0.10633,0.21363,0.24234,0.20711,0.19309,0.15949,0.10926,0.097521,0.073059,0.068819,0.066862,0.065558,0.065558,0.064905
463,0.28343,0.25734,0.10894,0.10894,0.21624,0.24494,0.20939,0.19537,0.16112,0.11024,0.098174,0.073712,0.069472,0.067515,0.06621,0.065884,0.065558
464,0.29126,0.26321,0.11122,0.11122,0.21853,0.24788,0.21168,0.19733,0.16275,0.11155,0.099152,0.074364,0.070124,0.068167,0.066536,0.066536,0.065884
465,0.29876,0.26908,0.11383,0.11383,0.22114,0.25082,0.21396,0.19961,0.16471,0.11252,0.10013,0.075016,0.070776,0.068493,0.067189,0.067189,0.066536
466,0.30691,0.27495,0.11644,0.11644,0.22374,0.25342,0.21624,0.20189,0.16634,0.1135,0.10111,0.075995,0.071429,0.069145,0.067841,0.067841,0.067189
467,0.31507,0.28147,0.11905,0.11905,0.22668,0.25636,0.21885,0.20417,0.1683,0.11481,0.10241,0.076647,0.072081,0.069798,0.068493,0.068493,0.067841
468,0.32355,0.28767,0.12166,0.12166,0.22929,0.25962,0.22146,0.20646,0.17025,0.11611,0.10339,0.077626,0.072733,0.070776,0.069145,0.069145,0.068493
469,0.33235,0.29452,0.12427,0.12427,0.23255,0.26288,0.22407,0.20907,0.17221,0.11742,0.1047,0.078278,0.073712,0.071429,0.069798,0.069798,0.069472
470,0.34116,0.30137,0.1272,0.1272,0.23549,0.26647,0.22701,0.21168,0.17449,0.11905,0.106,0.079256,0.074364,0.072407,0.070776,0.070776,0.070124
471,0.34964,0.30789,0.12981,0.12981,0.23875,0.27006,0.22994,0.21461,0.17678,0.12035,0.10731,0.080235,0.075342,0.073059,0.071429,0.071429,0.070776
472,0.3591,0.31507,0.13275,0.13275,0.24234,0.27397,0.2332,0.21755,0.17906,0.12231,0.10894,0.081539,0.076321,0.074038,0.072407,0.072407,0.071755
